,country,l_score,gdp_per_capita,support,life_expectancy,freedom,generosity,corruption,rank,r_indicator
49,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,104.0,Central and Eastern Europe
50,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,103.0,East Asia
51,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,102.0,Central and Eastern Europe
52,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,101.0,Latin America and Caribbean
53,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,100.0,Sub-Saharan Africa
54,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,99.0,East Asia
55,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,98.0,Latin America and Caribbean
56,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,97.0,Commonwealth of Independent States
57,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,96.0,Latin America and Caribbean
58,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,95.0,Central and Eastern Europe
59,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,94.0,Latin America and Caribbean
60,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,92.0,Latin America and Caribbean
61,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,91.0,Western Europe
62,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,90.0,South Asia
63,Russia,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,89.0,Commonwealth of Independent States
64,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,88.0,Southeast Asia
65,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,87.0,Central and Eastern Europe
66,Moldova,5.529,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002,0.0,86.0,Commonwealth of Independent States
67,Libya,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133,0.152,85.0,Middle East and North Africa
68,Montenegro,5.523,1.051,1.361,0.871,0.19699999999999998,0.142,0.08,84.0,Central and Eastern Europe
69,Tajikistan,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.23,0.14400000000000002,83.0,Commonwealth of Independent States
70,Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,82.0,Central and Eastern Europe
71,Dominican Republic,5.425,1.015,1.401,0.779,0.49700000000000005,0.113,0.10099999999999999,80.0,Latin America and Caribbean
72,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,79.0,Central and Eastern Europe
73,Turkey,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.083,0.106,78.0,Middle East and North Africa
74,Malaysia,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.26,0.024,77.0,Southeast Asia
75,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142,76.0,Commonwealth of Independent States
76,Greece,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.0,0.034,75.0,Western Europe
77,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,74.0,East Asia
78,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.040999999999999995,72.0,Sub-Saharan Africa
79,Kyrgyzstan,5.261,0.551,1.4380000000000002,0.723,0.508,0.3,0.023,71.0,Commonwealth of Independent States
80,Turkmenistan,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.244,0.027999999999999997,70.0,Commonwealth of Independent States
81,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,69.0,Middle East and North Africa
82,Morocco,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.036000000000000004,0.076,67.5,Middle East and North Africa
83,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182,67.5,Commonwealth of Independent States
84,Lebanon,5.197,0.987,1.224,0.815,0.21600000000000003,0.166,0.027000000000000003,66.0,Middle East and North Africa
85,Indonesia,5.192,0.9309999999999999,1.203,0.66,0.491,0.498,0.027999999999999997,65.0,Southeast Asia
